steamID/appID,steamid,appid,playtime_forever,achievements
76561198008911412/4570,0,4570,611,
76561198008911412/220440,0,220440,252,0.1896551724137931
76561198008911412/9310,0,9310,171,
76561198008911412/203160,0,203160,1070,0.58
76561198008911412/202130,0,202130,0,0.0
76561198008911412/224580,0,224580,194,
76561198008911412/221040,0,221040,0,0.0
76561198008911412/1500,0,1500,0,
76561198008911412/1510,0,1510,87,
76561198008911412/1520,0,1520,37,0.0
76561198008911412/1530,0,1530,37,0.0
76561198008911412/233450,0,233450,3273,0.0
76561198008911412/220660,0,220660,0,
76561198008911412/43160,0,43160,3133,0.8
76561198008911412/44350,0,44350,0,0.0
76561198008911412/222480,0,222480,0,0.0
76561198008911412/72850,0,72850,11924,0.8533333333333334
76561198008911412/234650,0,234650,684,
76561198008911412/233270,0,233270,422,
76561198008911412/65930,0,65930,0,0.0
76561198008911412/228300,0,228300,316,0.2
76561198008911412/231430,0,231430,2031,0.15486725663716813
76561198008911412/35450,0,35450,4978,0.2785714285714286
76561198008911412/231740,0,231740,12,0.0
76561198008911412/236850,0,236850,0,0.0
76561198008911412/242920,0,242920,977,0.4166666666666667
76561198008911412/12100,0,12100,360,
76561198008911412/12110,0,12110,5,
76561198008911412/12120,0,12120,16,
76561198008911412/12210,0,12210,0,
76561198008911412/12220,0,12220,0,
76561198008911412/12230,0,12230,0,
76561198008911412/12240,0,12240,0,
76561198008911412/12250,0,12250,0,
76561198008911412/206420,0,206420,1774,0.4246575342465753
76561198008911412/91310,0,91310,1468,0.5625
76561198008911412/216250,0,216250,1486,0.6
76561198008911412/214950,0,214950,15726,0.41333333333333333
76561198008911412/247020,0,247020,7,0.0
76561198008911412/239030,0,239030,6,0.0
76561198008911412/218620,0,218620,3608,0.06039076376554174
76561198008911412/205100,0,205100,1593,0.45
76561198008911412/92800,0,92800,0,0.0
76561198008911412/226960,0,226960,273,1.0
76561198008911412/243800,0,243800,138,0.09523809523809523
76561198008911412/255220,0,255220,0,0.0
76561198008911412/243040,0,243040,0,
76561198008911412/247660,0,247660,0,0.0
76561198008911412/243470,0,243470,3843,
76561198008911412/261640,0,261640,0,0.0
76561198008911412/264140,0,264140,98,0.3333333333333333
76561198008911412/215530,0,215530,1166,0.6736842105263158
76561198008911412/221100,0,221100,37,
76561198008911412/7670,0,7670,140,
76561198008911412/8850,0,8850,0,0.0
76561198008911412/8870,0,8870,0,0.0
76561198008911412/409710,0,409710,0,0.0
76561198008911412/409720,0,409720,0,0.0
76561198008911412/272470,0,272470,166,0.015873015873015872
76561198008911412/239160,0,239160,1844,0.5405405405405406
76561198008911412/236130,0,236130,0,0.0
76561198008911412/254700,0,254700,0,0.0
76561198008911412/235210,0,235210,6,0.0
76561198008911412/8880,0,8880,0,
76561198008911412/8890,0,8890,0,
76561198008911412/287260,0,287260,314,0.875
76561198008911412/287340,0,287340,1,0.0
76561198008911412/233290,0,233290,565,0.8541666666666666
76561198008911412/291710,0,291710,0,0.0
76561198008911412/201810,0,201810,1494,0.86
76561198008911412/295270,0,295270,72133,0.7238095238095238
76561198008911412/222900,0,222900,507,0.18518518518518517
76561198008911412/298630,0,298630,175,0.0
76561198008911412/300550,0,300550,1105,0.41025641025641024
76561198008911412/65790,0,65790,0,
76561198008911412/227940,0,227940,0,
76561198008911412/317280,0,317280,0,0.0
76561198008911412/238010,0,238010,1868,0.6610169491525424
76561198008911412/8080,0,8080,145,
76561198008911412/28000,0,28000,310,0.2542372881355932
76561198008911412/321040,0,321040,0,0.0
76561198008911412/226720,0,226720,1321,0.7
76561198008911412/24240,0,24240,0,0.0
76561198008911412/10,0,10,0,
76561198008911412/80,0,80,0,
76561198008911412/100,0,100,0,
76561198008911412/240,0,240,0,0.0
76561198008911412/730,0,730,190,0.11976047904191617
76561198008911412/346940,0,346940,0,0.0
76561198008911412/202170,0,202170,1943,0.711864406779661
76561198008911412/287290,0,287290,0,0.0
76561198008911412/351570,0,351570,0,
76561198008911412/350080,0,350080,912,0.74
76561198008911412/359580,0,359580,2,0.0
76561198008911412/359900,0,359900,0,0.0
76561198008911412/360430,0,360430,2324,0.8727272727272727
76561198008911412/47780,0,47780,0,
76561198008911412/365720,0,365720,0,
76561198008911412/329050,0,329050,0,0.0
76561198008911412/370240,0,370240,0,0.0
76561198008911412/385710,0,385710,0,0.0
76561198008911412/400170,0,400170,0,0.0
76561198008911412/234140,0,234140,4119,1.0
76561198008911412/437900,0,437900,33,
76561198008911412/440090,0,440090,1,
76561198008911412/394230,0,394230,0,0.0
76561198008911412/457600,0,457600,1728,0.10344827586206896
76561198008911412/50130,0,50130,961,0.5522388059701493
76561198008911412/489830,0,489830,0,0.0
76561198048730871/17470,1,17470,23,
76561198048730871/24740,1,24740,0,
76561198048730871/24800,1,24800,31,
76561198048730871/23490,1,23490,0,
76561198048730871/17410,1,17410,691,
76561198048730871/42910,1,42910,1981,0.3409090909090909
76561198048730871/72850,1,72850,12146,0.5866666666666667
76561198048730871/108800,1,108800,0,
76561198048730871/211420,1,211420,101,0.0
76561198048730871/57690,1,57690,0,0.0
76561198048730871/47790,1,47790,0,
76561198048730871/47830,1,47830,0,
76561198048730871/58520,1,58520,26,
76561198048730871/204560,1,204560,0,0.0
76561198048730871/208730,1,208730,0,0.0
76561198048730871/209730,1,209730,0,0.0
76561198048730871/219780,1,219780,0,
76561198048730871/231140,1,231140,0,
76561198048730871/58610,1,58610,0,0.0
76561198048730871/205650,1,205650,0,0.0
76561198048730871/550,1,550,0,0.0
76561198048730871/223530,1,223530,0,
76561198048730871/224600,1,224600,5494,
76561198048730871/245620,1,245620,2226,0.24285714285714285
76561198180821795/262060,2,262060,248,0.17391304347826086
76561198180821795/244160,2,244160,54,0.029411764705882353
76561198180821795/437900,2,437900,5,
76561198180821795/310380,2,310380,0,0.0
